Villes,Date,X,Y
Bayonne,1249,-1.4879539065230887 ,43.49247482062077 
Anglet,1249,-1.5116346691366702,43.47182460707863 
Bidart,1249,-1.5771598636631394,43.4493869309549
Saint-jean-de-Luz,1249,-1.6337424000000045,43.39427751238872
Urrugne,1249,-1.7113977365137665,43.34696669779297
Sare,1249,-1.588747381920061,43.29649942518571
Saint-Pée-sur-nivelle,1249,-1.5632139318610845,43.367395774693286
Cambo-les-Bains,1249,-1.387203209069461,43.3672036973296
Ustaritz,1249,-1.4877537979980224,43.398306537494015
Arcangues,1249,-1.5133979137221696,43.42608395000001
Pampelune,1249,-1.6328554633682961,42.81324752916547
Bilbao,1249,-2.928516872614684,43.25653834189933
Saint-Jean-Pied-de-porc,1249,-1.2357861057126458,43.158394959071906
Saint-Palais,1249,-1.0451674034747673,43.315219498233944
Espelette,1249,-1.452779745465268,43.316846512477866
